"Gene_Symbol"	"METHY_BRCA_BETA"	"METHY_BRCA_CHR"	"METHY_BRCA_START"	"METHY_BRCA_END"	"METHY_GBM_BETA"	"METHY_GBM_CHR"	"METHY_GBM_START"	"METHY_GBM_END"	"METHY_OV_BETA"	"METHY_OV_CHR"	"METHY_OV_START"	"METHY_OV_END"	"METHY_LUAD_BETA"	"METHY_LUAD_CHR"	"METHY_LUAD_START"	"METHY_LUAD_END"	"METHY_UCEC_BETA"	"METHY_UCEC_CHR"	"METHY_UCEC_START"	"METHY_UCEC_END"	"METHY_KIRC_BETA"	"METHY_KIRC_CHR"	"METHY_KIRC_START"	"METHY_KIRC_END"	"METHY_LUSC_BETA"	"METHY_LUSC_CHR"	"METHY_LUSC_START"	"METHY_LUSC_END"	"METHY_COAD_BETA"	"METHY_COAD_CHR"	"METHY_COAD_START"	"METHY_COAD_END"	"METHY_STAD_BETA"	"METHY_STAD_CHR"	"METHY_STAD_START"	"METHY_STAD_END"	"METHY_KIRP_BETA"	"METHY_KIRP_CHR"	"METHY_KIRP_START"	"METHY_KIRP_END"	"METHY_LAML_BETA"	"METHY_LAML_CHR"	"METHY_LAML_START"	"METHY_LAML_END"	"METHY_READ_BETA"	"METHY_READ_CHR"	"METHY_READ_START"	"METHY_READ_END"
"IGF2"	"0.160052190888758"	"chr11"	"2138623"	"2138624"	"0.150104657391245"	"chr11"	"2138623"	"2138624"	"0.0727065864844939"	"chr11"	"2138623"	"2138624"	"0.385863095922679"	"chr11"	"2138623"	"2138624"	"0.177911306392684"	"chr11"	"2138623"	"2138624"	"0.356821422750907"	"chr11"	"2138623"	"2138624"	"0.419263025182017"	"chr11"	"2138623"	"2138624"	"0.130185639760479"	"chr11"	"2138623"	"2138624"	"0.325816639752632"	"chr11"	"2138623"	"2138624"	"0.238485725862134"	"chr11"	"2138623"	"2138624"	"0.345103106094638"	"chr11"	"2138623"	"2138624"	"0.201861158544498"	"chr11"	"2138623"	"2138624"
"ZFHX2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"ANKRD11"	"0.0509451746097634"	"chr16"	"89489968"	"89489969"	"0.19127839763553"	"chr16"	"89489968"	"89489969"	"0.0436930509340495"	"chr16"	"89489968"	"89489969"	"0.0690067071339888"	"chr16"	"89489968"	"89489969"	"0.0387825251181132"	"chr16"	"89489968"	"89489969"	"0.0645120706107696"	"chr16"	"89489968"	"89489969"	"0.0571300619976224"	"chr16"	"89489968"	"89489969"	"0.0350500594485787"	"chr16"	"89489968"	"89489969"	"0.0805361405694405"	"chr16"	"89489968"	"89489969"	"0.0515127852181203"	"chr16"	"89489968"	"89489969"	"0.0391664451383845"	"chr16"	"89489968"	"89489969"	"0.0301663325306865"	"chr16"	"89489968"	"89489969"
"CDCA4"	"0.103873202799542"	"chr14"	"105020892"	"105020893"	"0.117632196363575"	"chr14"	"105020892"	"105020893"	"0.0337309806477395"	"chr14"	"105020892"	"105020893"	"0.238546267010444"	"chr14"	"105020892"	"105020893"	"0.141639997213858"	"chr14"	"105020892"	"105020893"	"0.221495101917071"	"chr14"	"105020892"	"105020893"	"0.0638503714637475"	"chr14"	"105020892"	"105020893"	"0.0761541926891488"	"chr14"	"105020892"	"105020893"	"0.274005339074986"	"chr14"	"105020892"	"105020893"	"0.28900987985325"	"chr14"	"105020892"	"105020893"	"0.113938475791137"	"chr14"	"105020892"	"105020893"	"0.0688784176022455"	"chr14"	"105020892"	"105020893"
"CDK8"	"0.0137524491989324"	"chr13"	"26253931"	"26253932"	"0.0222188186195007"	"chr13"	"26253931"	"26253932"	"0.00889622516277728"	"chr13"	"26253931"	"26253932"	"0.0124367916109868"	"chr13"	"26253931"	"26253932"	"0.0167869451123051"	"chr13"	"26253931"	"26253932"	"0.0155545961939266"	"chr13"	"26253931"	"26253932"	"0.0183195289943262"	"chr13"	"26253931"	"26253932"	"0.0139333238312517"	"chr13"	"26253931"	"26253932"	"0.0207599647383541"	"chr13"	"26253931"	"26253932"	"0.0202115487593499"	"chr13"	"26253931"	"26253932"	"0.0113068345780839"	"chr13"	"26253931"	"26253932"	"0.0126394792440133"	"chr13"	"26253931"	"26253932"
"CEP83"	"0.0350400117602243"	"chr12"	"94459569"	"94459570"	"0.0517241871157615"	"chr12"	"94459569"	"94459570"	"0.0154351335248278"	"chr12"	"94459569"	"94459570"	"0.0403945428843821"	"chr12"	"94459569"	"94459570"	"0.0367223029383173"	"chr12"	"94459569"	"94459570"	"0.0396584400343522"	"chr12"	"94459569"	"94459570"	"0.0285925239565587"	"chr12"	"94459569"	"94459570"	"0.031700920850655"	"chr12"	"94459569"	"94459570"	"0.0737450380982394"	"chr12"	"94459569"	"94459570"	"0.0452108789059473"	"chr12"	"94459569"	"94459570"	"0.0333100321852651"	"chr12"	"94459569"	"94459570"	"0.0233316300909844"	"chr12"	"94459569"	"94459570"
"CWF19L1"	"0.022152551369211"	"chr10"	"100267579"	"100267580"	"0.0321219788556684"	"chr10"	"100267579"	"100267580"	"0.0217196784778255"	"chr10"	"100267579"	"100267580"	"0.0262012840514434"	"chr10"	"100267579"	"100267580"	"0.0223838780610897"	"chr10"	"100267579"	"100267580"	"0.0181749976418351"	"chr10"	"100267579"	"100267580"	"0.0155260764874691"	"chr10"	"100267579"	"100267580"	"0.0223219604661361"	"chr10"	"100267579"	"100267580"	"0.0199226370799804"	"chr10"	"100267579"	"100267580"	"0.028309728341394"	"chr10"	"100267579"	"100267580"	"0.018377802437759"	"chr10"	"100267579"	"100267580"	"0.0176731466859118"	"chr10"	"100267579"	"100267580"
"GGT1"	"0.685431567014245"	"chr22"	"24583665"	"24583666"	"0.466052247784087"	"chr22"	"24583665"	"24583666"	"0.368169079597716"	"chr22"	"24583665"	"24583666"	"0.577148014945736"	"chr22"	"24583665"	"24583666"	"0.639583435072752"	"chr22"	"24583665"	"24583666"	"0.276586171421411"	"chr22"	"24583665"	"24583666"	"0.59522164699347"	"chr22"	"24583665"	"24583666"	"0.730034136783559"	"chr22"	"24583665"	"24583666"	"0.546188597883836"	"chr22"	"24583665"	"24583666"	"0.535895914515423"	"chr22"	"24583665"	"24583666"	"0.871584092826306"	"chr22"	"24583665"	"24583666"	"0.557648833336986"	"chr22"	"24583665"	"24583666"
"IWS1"	"0.0118909129564642"	"chr2"	"127526447"	"127526448"	"0.0228534575400208"	"chr2"	"127526447"	"127526448"	"0.011678740190495"	"chr2"	"127526447"	"127526448"	"0.0134236235622833"	"chr2"	"127526447"	"127526448"	"0.0127081832589327"	"chr2"	"127526447"	"127526448"	"0.0123699652232045"	"chr2"	"127526447"	"127526448"	"0.0186453186294673"	"chr2"	"127526447"	"127526448"	"0.0123590086152775"	"chr2"	"127526447"	"127526448"	"0.0181267882567747"	"chr2"	"127526447"	"127526448"	"0.012660360668176"	"chr2"	"127526447"	"127526448"	"0.0137291864402998"	"chr2"	"127526447"	"127526448"	"0.010038324906073"	"chr2"	"127526447"	"127526448"
"LTBR"	"0.263027169089976"	"chr12"	"6384601"	"6384602"	"0.785744573645528"	"chr12"	"6384601"	"6384602"	"0.0826574878940799"	"chr12"	"6384601"	"6384602"	"0.33351111754033"	"chr12"	"6384601"	"6384602"	"0.321991515961992"	"chr12"	"6384601"	"6384602"	"0.22417966366964"	"chr12"	"6384601"	"6384602"	"0.365845752252571"	"chr12"	"6384601"	"6384602"	"0.170090137426844"	"chr12"	"6384601"	"6384602"	"0.368393606150127"	"chr12"	"6384601"	"6384602"	"0.256699102464736"	"chr12"	"6384601"	"6384602"	"0.340396883316638"	"chr12"	"6384601"	"6384602"	"0.172389175965447"	"chr12"	"6384601"	"6384602"
