"Gene_Symbol"	"METHY_BRCA_BETA"	"METHY_BRCA_CHR"	"METHY_BRCA_START"	"METHY_BRCA_END"	"METHY_GBM_BETA"	"METHY_GBM_CHR"	"METHY_GBM_START"	"METHY_GBM_END"	"METHY_OV_BETA"	"METHY_OV_CHR"	"METHY_OV_START"	"METHY_OV_END"	"METHY_LUAD_BETA"	"METHY_LUAD_CHR"	"METHY_LUAD_START"	"METHY_LUAD_END"	"METHY_UCEC_BETA"	"METHY_UCEC_CHR"	"METHY_UCEC_START"	"METHY_UCEC_END"	"METHY_KIRC_BETA"	"METHY_KIRC_CHR"	"METHY_KIRC_START"	"METHY_KIRC_END"	"METHY_LUSC_BETA"	"METHY_LUSC_CHR"	"METHY_LUSC_START"	"METHY_LUSC_END"	"METHY_COAD_BETA"	"METHY_COAD_CHR"	"METHY_COAD_START"	"METHY_COAD_END"	"METHY_STAD_BETA"	"METHY_STAD_CHR"	"METHY_STAD_START"	"METHY_STAD_END"	"METHY_KIRP_BETA"	"METHY_KIRP_CHR"	"METHY_KIRP_START"	"METHY_KIRP_END"	"METHY_LAML_BETA"	"METHY_LAML_CHR"	"METHY_LAML_START"	"METHY_LAML_END"	"METHY_READ_BETA"	"METHY_READ_CHR"	"METHY_READ_START"	"METHY_READ_END"
"H19"	"0.232585476136312"	"chr11"	"1999330"	"1999331"	"0.367321147912016"	"chr11"	"1999330"	"1999331"	"0.890217678884998"	"chr11"	"1999330"	"1999331"	"0.360920948063697"	"chr11"	"1999330"	"1999331"	"0.250902462449211"	"chr11"	"1999330"	"1999331"	"0.373650916405029"	"chr11"	"1999330"	"1999331"	"0.251865615102928"	"chr11"	"1999330"	"1999331"	"0.525209085187074"	"chr11"	"1999330"	"1999331"	"0.697975574021159"	"chr11"	"1999330"	"1999331"	"0.330739979550672"	"chr11"	"1999330"	"1999331"	"0.374160603191687"	"chr11"	"1999330"	"1999331"	"0.305233328990786"	"chr11"	"1999330"	"1999331"
"HULC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"EGOT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"CDKN2B-AS1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"BACE1-AS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"HOTAIRM1"	"0.502062461875275"	"chr7"	"27096065"	"27096066"	"0.0116307420206406"	"chr7"	"27096065"	"27096066"	"0.00641866334823394"	"chr7"	"27096065"	"27096066"	"0.0274045757256769"	"chr7"	"27096065"	"27096066"	"0.0300348056114163"	"chr7"	"27096065"	"27096066"	"0.046265994127848"	"chr7"	"27096065"	"27096066"	"0.0162421124850351"	"chr7"	"27096065"	"27096066"	"0.0295887486698815"	"chr7"	"27096065"	"27096066"	"0.0220518905512978"	"chr7"	"27096065"	"27096066"	"0.0221251625004929"	"chr7"	"27096065"	"27096066"	"0.0360265955393428"	"chr7"	"27096065"	"27096066"	"0.026062169103193"	"chr7"	"27096065"	"27096066"
"MIAT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"EMX2OS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"MEG3"	"0.864087696670352"	"chr14"	"100828093"	"100828094"	"0.937436684334335"	"chr14"	"100828093"	"100828094"	"0.972010346943121"	"chr14"	"100828093"	"100828094"	"0.848574642645335"	"chr14"	"100828093"	"100828094"	"0.975139030922838"	"chr14"	"100828093"	"100828094"	"0.968755275214363"	"chr14"	"100828093"	"100828094"	"0.907582716310942"	"chr14"	"100828093"	"100828094"	"0.949355873694037"	"chr14"	"100828093"	"100828094"	"0.9572243202922"	"chr14"	"100828093"	"100828094"	"0.957489882639237"	"chr14"	"100828093"	"100828094"	"0.582863330404561"	"chr14"	"100828093"	"100828094"	"0.966256488466435"	"chr14"	"100828093"	"100828094"
"MALAT1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
