"Gene_Symbol"	"METHY_BRCA_BETA"	"METHY_BRCA_CHR"	"METHY_BRCA_START"	"METHY_BRCA_END"	"METHY_GBM_BETA"	"METHY_GBM_CHR"	"METHY_GBM_START"	"METHY_GBM_END"	"METHY_OV_BETA"	"METHY_OV_CHR"	"METHY_OV_START"	"METHY_OV_END"	"METHY_LUAD_BETA"	"METHY_LUAD_CHR"	"METHY_LUAD_START"	"METHY_LUAD_END"	"METHY_UCEC_BETA"	"METHY_UCEC_CHR"	"METHY_UCEC_START"	"METHY_UCEC_END"	"METHY_KIRC_BETA"	"METHY_KIRC_CHR"	"METHY_KIRC_START"	"METHY_KIRC_END"	"METHY_LUSC_BETA"	"METHY_LUSC_CHR"	"METHY_LUSC_START"	"METHY_LUSC_END"	"METHY_COAD_BETA"	"METHY_COAD_CHR"	"METHY_COAD_START"	"METHY_COAD_END"	"METHY_STAD_BETA"	"METHY_STAD_CHR"	"METHY_STAD_START"	"METHY_STAD_END"	"METHY_KIRP_BETA"	"METHY_KIRP_CHR"	"METHY_KIRP_START"	"METHY_KIRP_END"	"METHY_LAML_BETA"	"METHY_LAML_CHR"	"METHY_LAML_START"	"METHY_LAML_END"	"METHY_READ_BETA"	"METHY_READ_CHR"	"METHY_READ_START"	"METHY_READ_END"
"MYC"	"0.0250557183629199"	"8"	"127735733"	"127735734"	"0.0222538588408895"	"8"	"127735733"	"127735734"	"0.0120694800914067"	"8"	"127735733"	"127735734"	"0.0121584840479858"	"8"	"127735733"	"127735734"	"0.0142367484916929"	"8"	"127735733"	"127735734"	"0.0160250443455259"	"8"	"127735733"	"127735734"	"0.0152765147661205"	"8"	"127735733"	"127735734"	"0.0138368161933164"	"8"	"127735733"	"127735734"	"0.022488823699672"	"8"	"127735733"	"127735734"	"0.0164677350022214"	"8"	"127735733"	"127735734"	"0.0184793429786641"	"8"	"127735733"	"127735734"	"0.0138399736171663"	"8"	"127735733"	"127735734"
"HEXIM1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"CDK9"	"0.0239928718786007"	"9"	"127786370"	"127786371"	"0.0381083893116138"	"9"	"127786370"	"127786371"	"0.0207516077919286"	"9"	"127786370"	"127786371"	"0.0366609423840231"	"9"	"127786370"	"127786371"	"0.0354901334391335"	"9"	"127786370"	"127786371"	"0.0302976321444554"	"9"	"127786370"	"127786371"	"0.0422892513514038"	"9"	"127786370"	"127786371"	"0.0271943355038221"	"9"	"127786370"	"127786371"	"0.0255778176281456"	"9"	"127786370"	"127786371"	"0.0295217260487662"	"9"	"127786370"	"127786371"	"0.0206926003613876"	"9"	"127786370"	"127786371"	"0.0198054562627604"	"9"	"127786370"	"127786371"
"HMGA1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"MECP2"	"0.19913189654045"	"23"	"154098250"	"154098251"	"0.255831196605486"	"23"	"154098250"	"154098251"	"0.542836967842402"	"23"	"154098250"	"154098251"	"0.0368059070447563"	"23"	"154098250"	"154098251"	"0.326317219293544"	"23"	"154098250"	"154098251"	"0.0617762509106964"	"23"	"154098250"	"154098251"	"0.363328034815093"	"23"	"154098250"	"154098251"	"0.0379888611696279"	"23"	"154098250"	"154098251"	"0.303792140916133"	"23"	"154098250"	"154098251"	"0.133854120086471"	"23"	"154098250"	"154098251"	"0.103837099078089"	"23"	"154098250"	"154098251"	"0.371301151239406"	"23"	"154098250"	"154098251"
"GABRR2"	"0.950112393580922"	"6"	"89315334"	"89315335"	"0.943109166300015"	"6"	"89315334"	"89315335"	"0.975993677521535"	"6"	"89315334"	"89315335"	"0.919539874666421"	"6"	"89315334"	"89315335"	"0.877537682008544"	"6"	"89315334"	"89315335"	"0.913432048251797"	"6"	"89315334"	"89315335"	"0.961571468955762"	"6"	"89315334"	"89315335"	"0.965127552754389"	"6"	"89315334"	"89315335"	"0.896640426759113"	"6"	"89315334"	"89315335"	"0.942034286413705"	"6"	"89315334"	"89315335"	"0.954641058788786"	"6"	"89315334"	"89315335"	"0.95883168062839"	"6"	"89315334"	"89315335"
"BACE1"	"0.011293262390984"	"11"	"117316180"	"117316181"	"0.0326035432050756"	"11"	"117316180"	"117316181"	"0.0313449441500266"	"11"	"117316180"	"117316181"	"0.184836357764241"	"11"	"117316180"	"117316181"	"0.0138594144618081"	"11"	"117316180"	"117316181"	"0.00927503074164436"	"11"	"117316180"	"117316181"	"0.214384587480165"	"11"	"117316180"	"117316181"	"0.00801421719568822"	"11"	"117316180"	"117316181"	"0.0440989563614087"	"11"	"117316180"	"117316181"	"0.0351676678628348"	"11"	"117316180"	"117316181"	"0.025058081871655"	"11"	"117316180"	"117316181"	"0.0213257566639773"	"11"	"117316180"	"117316181"
"PABPC1"	"0.167481956604709"	"8"	"100721692"	"100721693"	"0.34695369054028"	"8"	"100721692"	"100721693"	"0.103535117450058"	"8"	"100721692"	"100721693"	"0.0523650640303913"	"8"	"100721692"	"100721693"	"0.235666104995902"	"8"	"100721692"	"100721693"	"0.247063991271057"	"8"	"100721692"	"100721693"	"0.236384084695965"	"8"	"100721692"	"100721693"	"0.0941806962232045"	"8"	"100721692"	"100721693"	"0.261197130677711"	"8"	"100721692"	"100721693"	"0.241196092591246"	"8"	"100721692"	"100721693"	"0.281962472594201"	"8"	"100721692"	"100721693"	"0.19173024231893"	"8"	"100721692"	"100721693"
"FMR1"	"0.500365501703638"	"23"	"147911390"	"147911391"	"0.322115383487136"	"23"	"147911390"	"147911391"	"0.418282101814072"	"23"	"147911390"	"147911391"	"0.174779773247516"	"23"	"147911390"	"147911391"	"0.429126441046452"	"23"	"147911390"	"147911391"	"0.077794142049878"	"23"	"147911390"	"147911391"	"0.553635391387384"	"23"	"147911390"	"147911391"	"0.112967427369575"	"23"	"147911390"	"147911391"	"0.337349624114905"	"23"	"147911390"	"147911391"	"0.0710570370379898"	"23"	"147911390"	"147911391"	"0.0873605651351137"	"23"	"147911390"	"147911391"	"0.379493063413782"	"23"	"147911390"	"147911391"
"SNIP1"	"0.0304056627550249"	"1"	"37554396"	"37554397"	"0.0593372614134444"	"1"	"37554396"	"37554397"	"0.0176223174041442"	"1"	"37554396"	"37554397"	"0.0478232984142182"	"1"	"37554396"	"37554397"	"0.0317859113709816"	"1"	"37554396"	"37554397"	"0.0287869375954958"	"1"	"37554396"	"37554397"	"0.0338536974563025"	"1"	"37554396"	"37554397"	"0.0333331883208292"	"1"	"37554396"	"37554397"	"0.0312264351914877"	"1"	"37554396"	"37554397"	"0.0288143477909975"	"1"	"37554396"	"37554397"	"0.0271989751242229"	"1"	"37554396"	"37554397"	"0.0252042126733657"	"1"	"37554396"	"37554397"
