"Gene_Symbol"	"METHY_BRCA_BETA"	"METHY_BRCA_"	"METHY_BRCA_START"	"METHY_BRCA_END"	"METHY_GBM_BETA"	"METHY_GBM_"	"METHY_GBM_START"	"METHY_GBM_END"	"METHY_OV_BETA"	"METHY_OV_"	"METHY_OV_START"	"METHY_OV_END"	"METHY_LUAD_BETA"	"METHY_LUAD_"	"METHY_LUAD_START"	"METHY_LUAD_END"	"METHY_UCEC_BETA"	"METHY_UCEC_"	"METHY_UCEC_START"	"METHY_UCEC_END"	"METHY_KIRC_BETA"	"METHY_KIRC_"	"METHY_KIRC_START"	"METHY_KIRC_END"	"METHY_LUSC_BETA"	"METHY_LUSC_"	"METHY_LUSC_START"	"METHY_LUSC_END"	"METHY_COAD_BETA"	"METHY_COAD_"	"METHY_COAD_START"	"METHY_COAD_END"	"METHY_STAD_BETA"	"METHY_STAD_"	"METHY_STAD_START"	"METHY_STAD_END"	"METHY_KIRP_BETA"	"METHY_KIRP_"	"METHY_KIRP_START"	"METHY_KIRP_END"	"METHY_LAML_BETA"	"METHY_LAML_"	"METHY_LAML_START"	"METHY_LAML_END"	"METHY_READ_BETA"	"METHY_READ_"	"METHY_READ_START"	"METHY_READ_END"
"IGF2"	"0.160052190888758"	"11"	"2138623"	"2138624"	"0.150104657391245"	"11"	"2138623"	"2138624"	"0.0727065864844939"	"11"	"2138623"	"2138624"	"0.385863095922679"	"11"	"2138623"	"2138624"	"0.177911306392684"	"11"	"2138623"	"2138624"	"0.356821422750907"	"11"	"2138623"	"2138624"	"0.419263025182017"	"11"	"2138623"	"2138624"	"0.130185639760479"	"11"	"2138623"	"2138624"	"0.325816639752632"	"11"	"2138623"	"2138624"	"0.238485725862134"	"11"	"2138623"	"2138624"	"0.345103106094638"	"11"	"2138623"	"2138624"	"0.201861158544498"	"11"	"2138623"	"2138624"
"ZFHX2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"ANKRD11"	"0.0509451746097634"	"16"	"89489968"	"89489969"	"0.19127839763553"	"16"	"89489968"	"89489969"	"0.0436930509340495"	"16"	"89489968"	"89489969"	"0.0690067071339888"	"16"	"89489968"	"89489969"	"0.0387825251181132"	"16"	"89489968"	"89489969"	"0.0645120706107696"	"16"	"89489968"	"89489969"	"0.0571300619976224"	"16"	"89489968"	"89489969"	"0.0350500594485787"	"16"	"89489968"	"89489969"	"0.0805361405694405"	"16"	"89489968"	"89489969"	"0.0515127852181203"	"16"	"89489968"	"89489969"	"0.0391664451383845"	"16"	"89489968"	"89489969"	"0.0301663325306865"	"16"	"89489968"	"89489969"
"CDCA4"	"0.103873202799542"	"14"	"105020892"	"105020893"	"0.117632196363575"	"14"	"105020892"	"105020893"	"0.0337309806477395"	"14"	"105020892"	"105020893"	"0.238546267010444"	"14"	"105020892"	"105020893"	"0.141639997213858"	"14"	"105020892"	"105020893"	"0.221495101917071"	"14"	"105020892"	"105020893"	"0.0638503714637475"	"14"	"105020892"	"105020893"	"0.0761541926891488"	"14"	"105020892"	"105020893"	"0.274005339074986"	"14"	"105020892"	"105020893"	"0.28900987985325"	"14"	"105020892"	"105020893"	"0.113938475791137"	"14"	"105020892"	"105020893"	"0.0688784176022455"	"14"	"105020892"	"105020893"
"CDK8"	"0.0137524491989324"	"13"	"26253931"	"26253932"	"0.0222188186195007"	"13"	"26253931"	"26253932"	"0.00889622516277728"	"13"	"26253931"	"26253932"	"0.0124367916109868"	"13"	"26253931"	"26253932"	"0.0167869451123051"	"13"	"26253931"	"26253932"	"0.0155545961939266"	"13"	"26253931"	"26253932"	"0.0183195289943262"	"13"	"26253931"	"26253932"	"0.0139333238312517"	"13"	"26253931"	"26253932"	"0.0207599647383541"	"13"	"26253931"	"26253932"	"0.0202115487593499"	"13"	"26253931"	"26253932"	"0.0113068345780839"	"13"	"26253931"	"26253932"	"0.0126394792440133"	"13"	"26253931"	"26253932"
"CEP83"	"0.0350400117602243"	"12"	"94459569"	"94459570"	"0.0517241871157615"	"12"	"94459569"	"94459570"	"0.0154351335248278"	"12"	"94459569"	"94459570"	"0.0403945428843821"	"12"	"94459569"	"94459570"	"0.0367223029383173"	"12"	"94459569"	"94459570"	"0.0396584400343522"	"12"	"94459569"	"94459570"	"0.0285925239565587"	"12"	"94459569"	"94459570"	"0.031700920850655"	"12"	"94459569"	"94459570"	"0.0737450380982394"	"12"	"94459569"	"94459570"	"0.0452108789059473"	"12"	"94459569"	"94459570"	"0.0333100321852651"	"12"	"94459569"	"94459570"	"0.0233316300909844"	"12"	"94459569"	"94459570"
"CWF19L1"	"0.022152551369211"	"10"	"100267579"	"100267580"	"0.0321219788556684"	"10"	"100267579"	"100267580"	"0.0217196784778255"	"10"	"100267579"	"100267580"	"0.0262012840514434"	"10"	"100267579"	"100267580"	"0.0223838780610897"	"10"	"100267579"	"100267580"	"0.0181749976418351"	"10"	"100267579"	"100267580"	"0.0155260764874691"	"10"	"100267579"	"100267580"	"0.0223219604661361"	"10"	"100267579"	"100267580"	"0.0199226370799804"	"10"	"100267579"	"100267580"	"0.028309728341394"	"10"	"100267579"	"100267580"	"0.018377802437759"	"10"	"100267579"	"100267580"	"0.0176731466859118"	"10"	"100267579"	"100267580"
"GGT1"	"0.685431567014245"	"22"	"24583665"	"24583666"	"0.466052247784087"	"22"	"24583665"	"24583666"	"0.368169079597716"	"22"	"24583665"	"24583666"	"0.577148014945736"	"22"	"24583665"	"24583666"	"0.639583435072752"	"22"	"24583665"	"24583666"	"0.276586171421411"	"22"	"24583665"	"24583666"	"0.59522164699347"	"22"	"24583665"	"24583666"	"0.730034136783559"	"22"	"24583665"	"24583666"	"0.546188597883836"	"22"	"24583665"	"24583666"	"0.535895914515423"	"22"	"24583665"	"24583666"	"0.871584092826306"	"22"	"24583665"	"24583666"	"0.557648833336986"	"22"	"24583665"	"24583666"
"IWS1"	"0.0118909129564642"	"2"	"127526447"	"127526448"	"0.0228534575400208"	"2"	"127526447"	"127526448"	"0.011678740190495"	"2"	"127526447"	"127526448"	"0.0134236235622833"	"2"	"127526447"	"127526448"	"0.0127081832589327"	"2"	"127526447"	"127526448"	"0.0123699652232045"	"2"	"127526447"	"127526448"	"0.0186453186294673"	"2"	"127526447"	"127526448"	"0.0123590086152775"	"2"	"127526447"	"127526448"	"0.0181267882567747"	"2"	"127526447"	"127526448"	"0.012660360668176"	"2"	"127526447"	"127526448"	"0.0137291864402998"	"2"	"127526447"	"127526448"	"0.010038324906073"	"2"	"127526447"	"127526448"
"LTBR"	"0.263027169089976"	"12"	"6384601"	"6384602"	"0.785744573645528"	"12"	"6384601"	"6384602"	"0.0826574878940799"	"12"	"6384601"	"6384602"	"0.33351111754033"	"12"	"6384601"	"6384602"	"0.321991515961992"	"12"	"6384601"	"6384602"	"0.22417966366964"	"12"	"6384601"	"6384602"	"0.365845752252571"	"12"	"6384601"	"6384602"	"0.170090137426844"	"12"	"6384601"	"6384602"	"0.368393606150127"	"12"	"6384601"	"6384602"	"0.256699102464736"	"12"	"6384601"	"6384602"	"0.340396883316638"	"12"	"6384601"	"6384602"	"0.172389175965447"	"12"	"6384601"	"6384602"
