"Gene_Symbol"	"METHY_BRCA_BETA"	"METHY_BRCA_CHR"	"METHY_BRCA_START"	"METHY_BRCA_END"	"METHY_GBM_BETA"	"METHY_GBM_CHR"	"METHY_GBM_START"	"METHY_GBM_END"	"METHY_OV_BETA"	"METHY_OV_CHR"	"METHY_OV_START"	"METHY_OV_END"	"METHY_LUAD_BETA"	"METHY_LUAD_CHR"	"METHY_LUAD_START"	"METHY_LUAD_END"	"METHY_UCEC_BETA"	"METHY_UCEC_CHR"	"METHY_UCEC_START"	"METHY_UCEC_END"	"METHY_KIRC_BETA"	"METHY_KIRC_CHR"	"METHY_KIRC_START"	"METHY_KIRC_END"	"METHY_LUSC_BETA"	"METHY_LUSC_CHR"	"METHY_LUSC_START"	"METHY_LUSC_END"	"METHY_COAD_BETA"	"METHY_COAD_CHR"	"METHY_COAD_START"	"METHY_COAD_END"	"METHY_STAD_BETA"	"METHY_STAD_CHR"	"METHY_STAD_START"	"METHY_STAD_END"	"METHY_KIRP_BETA"	"METHY_KIRP_CHR"	"METHY_KIRP_START"	"METHY_KIRP_END"	"METHY_LAML_BETA"	"METHY_LAML_CHR"	"METHY_LAML_START"	"METHY_LAML_END"	"METHY_READ_BETA"	"METHY_READ_CHR"	"METHY_READ_START"	"METHY_READ_END"
"CDKN1A"	"0.0193857634645686"	"6"	"36678763"	"36678764"	"0.0293692404811286"	"6"	"36678763"	"36678764"	"0.0169555913111159"	"6"	"36678763"	"36678764"	"0.0124018115605682"	"6"	"36678763"	"36678764"	"0.0156944805915627"	"6"	"36678763"	"36678764"	"0.0211342594486347"	"6"	"36678763"	"36678764"	"0.0150124232828411"	"6"	"36678763"	"36678764"	"0.0160897813070001"	"6"	"36678763"	"36678764"	"0.018596838609049"	"6"	"36678763"	"36678764"	"0.0171519846551113"	"6"	"36678763"	"36678764"	"0.0137128970431722"	"6"	"36678763"	"36678764"	"0.0190585867320103"	"6"	"36678763"	"36678764"
"TGFB1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"ZEB1"	"0.0187043946827179"	"10"	"31319278"	"31319279"	"0.0673348875102677"	"10"	"31319278"	"31319279"	"0.0171611108221736"	"10"	"31319278"	"31319279"	"0.0176670712746263"	"10"	"31319278"	"31319279"	"0.0203846417950636"	"10"	"31319278"	"31319279"	"0.0168492812141968"	"10"	"31319278"	"31319279"	"0.0282044619121644"	"10"	"31319278"	"31319279"	"0.0165367625201428"	"10"	"31319278"	"31319279"	"0.176050630319711"	"10"	"31319278"	"31319279"	"0.0251663532974492"	"10"	"31319278"	"31319279"	"0.0176128522829236"	"10"	"31319278"	"31319279"	"0.020063756090575"	"10"	"31319278"	"31319279"
"MIF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"IDO1"	"0.869722516135051"	"8"	"39914237"	"39914238"	"0.465161390626242"	"8"	"39914237"	"39914238"	"0.898638865610716"	"8"	"39914237"	"39914238"	"0.889589638146012"	"8"	"39914237"	"39914238"	"0.21018907527244"	"8"	"39914237"	"39914238"	"0.896092437368852"	"8"	"39914237"	"39914238"	"0.454135291912592"	"8"	"39914237"	"39914238"	"0.789878423938539"	"8"	"39914237"	"39914238"	"0.525940461546968"	"8"	"39914237"	"39914238"	"0.85799189746919"	"8"	"39914237"	"39914238"	"0.602057322330722"	"8"	"39914237"	"39914238"	"0.844997831280729"	"8"	"39914237"	"39914238"
"GSK3B"	"0.0114494824008238"	"3"	"120093755"	"120093756"	"0.0760067101478585"	"3"	"120093755"	"120093756"	"0.00584885896720572"	"3"	"120093755"	"120093756"	"0.0118501980292417"	"3"	"120093755"	"120093756"	"0.00987717823713659"	"3"	"120093755"	"120093756"	"0.0112690734759291"	"3"	"120093755"	"120093756"	"0.0102827429291418"	"3"	"120093755"	"120093756"	"0.00877833173362971"	"3"	"120093755"	"120093756"	"0.0138460471340078"	"3"	"120093755"	"120093756"	"0.0143540345738906"	"3"	"120093755"	"120093756"	"0.0122706594574399"	"3"	"120093755"	"120093756"	"0.0100110592258127"	"3"	"120093755"	"120093756"
"CASP3"	"0.0202640379594367"	"4"	"184648588"	"184648589"	"0.0469326423720478"	"4"	"184648588"	"184648589"	"0.0169335587851828"	"4"	"184648588"	"184648589"	"0.0203382435180993"	"4"	"184648588"	"184648589"	"0.015843842283957"	"4"	"184648588"	"184648589"	"0.0223430897026578"	"4"	"184648588"	"184648589"	"0.0184183816905097"	"4"	"184648588"	"184648589"	"0.0178798338304954"	"4"	"184648588"	"184648589"	"0.027912994881506"	"4"	"184648588"	"184648589"	"0.0272097091275155"	"4"	"184648588"	"184648589"	"0.0144620042593189"	"4"	"184648588"	"184648589"	"0.0178981201088581"	"4"	"184648588"	"184648589"
"CASP9"	"0.0211788029002089"	"1"	"15523961"	"15523962"	"0.0483937741922199"	"1"	"15523961"	"15523962"	"0.0134132871737714"	"1"	"15523961"	"15523962"	"0.0282514295254062"	"1"	"15523961"	"15523962"	"0.0203155740860294"	"1"	"15523961"	"15523962"	"0.0267912236025944"	"1"	"15523961"	"15523962"	"0.0193169742498761"	"1"	"15523961"	"15523962"	"0.0213877867770113"	"1"	"15523961"	"15523962"	"0.0219442114024904"	"1"	"15523961"	"15523962"	"0.0383619579610947"	"1"	"15523961"	"15523962"	"0.0190450858091255"	"1"	"15523961"	"15523962"	"0.0169430057127272"	"1"	"15523961"	"15523962"
"PKM"	"0.0344262559995194"	"15"	"72231175"	"72231176"	"0.0601619703281891"	"15"	"72231175"	"72231176"	"0.0400908305817722"	"15"	"72231175"	"72231176"	"0.0539393698113631"	"15"	"72231175"	"72231176"	"0.0751520731604245"	"15"	"72231175"	"72231176"	"0.0485934981990939"	"15"	"72231175"	"72231176"	"0.0427133539487603"	"15"	"72231175"	"72231176"	"0.0402306936000791"	"15"	"72231175"	"72231176"	"0.0771102254576061"	"15"	"72231175"	"72231176"	"0.0570360676762804"	"15"	"72231175"	"72231176"	"0.0520142290987598"	"15"	"72231175"	"72231176"	"0.0580751045212689"	"15"	"72231175"	"72231176"
"MMP9"	"0.42152209373081"	"20"	"46008719"	"46008720"	"0.117375578794296"	"20"	"46008719"	"46008720"	"0.0761231240190246"	"20"	"46008719"	"46008720"	"0.179918867714114"	"20"	"46008719"	"46008720"	"0.113467083330132"	"20"	"46008719"	"46008720"	"0.390769961569663"	"20"	"46008719"	"46008720"	"0.092744172932511"	"20"	"46008719"	"46008720"	"0.0576068150323191"	"20"	"46008719"	"46008720"	"0.229246859106239"	"20"	"46008719"	"46008720"	"0.447901493267755"	"20"	"46008719"	"46008720"	"0.0578322159352882"	"20"	"46008719"	"46008720"	"0.0971221565541848"	"20"	"46008719"	"46008720"
